Yaw: 1.70 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.68 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.66 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.64 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.60 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.60 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.60 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.62 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.60 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.57 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.60 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.56 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.57 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.57 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.55 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.54 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.55 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.47 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.43 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.45 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.53 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.53 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.54 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.56 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.47 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.46 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.45 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.45 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.43 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.47 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.45 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.54 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.55 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.55 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.56 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.54 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.58 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.55 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.49 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.51 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.50 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.52 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.48 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.49 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.45 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.47 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.40 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.44 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.41 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
Yaw: 1.43 | IR Ang: -1.0 | Estado: 0 | nIR: 0 | Vel: 0
